Difficulty,Animal,CardNumber,DiceNumber,Area,Height,SolutionCount,Blocks
Easy,Elephant,1,1,7,2,1,"[Blue lighter, Red big hook, Green L]"
Easy,Elephant,1,3,7,2,1,"[Blue lighter, Red small hook, Green big hook]"
Easy,Elephant,1,5,7,2,1,"[Yellow big hook, Blue big hook, Red small hook]"
Easy,Elephant,1,8,7,2,1,"[Yellow small hook, Red stool, Green flash]"
Easy,Elephant,2,1,7,2,1,"[Yellow hello, Red stool, Green L]"
Easy,Elephant,2,3,7,2,1,"[Yellow hello, Blue lighter, Red flash]"
Easy,Elephant,2,5,7,2,1,"[Red big hook, Green big hook, Green L]"
Easy,Elephant,2,8,7,2,1,"[Blue flash, Red stool, Green L]"
Easy,Elephant,3,1,7,2,1,"[Yellow small hook, Blue big hook, Blue lighter]"
Easy,Elephant,3,3,7,2,1,"[Red stool, Red big hook, Green L]"
Easy,Elephant,3,5,7,2,1,"[Blue lighter, Red stool, Red small hook]"
Easy,Elephant,3,8,7,2,1,"[Blue big hook, Blue lighter, Green L]"
Easy,Elephant,4,1,7,2,1,"[Yellow big hook, Blue lighter, Green L]"
Easy,Elephant,4,3,7,2,1,"[Yellow hello, Blue lighter, Green L]"
Easy,Elephant,4,5,7,2,1,"[Blue big hook, Red big hook, Green L]"
Easy,Elephant,4,8,7,2,1,"[Yellow big hook, Blue big hook, Green L]"
Easy,Gazelle,5,1,7,2,1,"[Yellow big hook, Red stool, Green L]"
Easy,Gazelle,5,3,7,2,1,"[Yellow small hook, Blue big hook, Red big hook]"
Easy,Gazelle,5,5,7,2,2,"[Yellow hello, Red stool, Red small hook]"
Easy,Gazelle,5,8,7,2,2,"[Yellow gate, Red stool, Green L]"
Easy,Gazelle,6,1,7,2,1,"[Blue big hook, Red stool, Green L]"
Easy,Gazelle,6,3,7,2,1,"[Yellow big hook, Red small hook, Green big hook]"
Easy,Gazelle,6,5,7,2,1,"[Yellow gate, Blue big hook, Red small hook]"
Easy,Gazelle,6,8,7,2,2,"[Yellow hello, Blue lighter, Green T]"
Easy,Gazelle,7,1,7,2,1,"[Blue flash, Blue lighter, Green L]"
Easy,Gazelle,7,3,7,2,1,"[Blue lighter, Green flash, Green T]"
Easy,Gazelle,7,5,7,2,1,"[Yellow hello, Yellow small hook, Blue lighter]"
Easy,Gazelle,7,8,7,2,3,"[Yellow hello, Blue lighter, Green L]"
Easy,Gazelle,8,1,7,2,1,"[Blue big hook, Blue lighter, Red small hook]"
Easy,Gazelle,8,3,7,2,1,"[Yellow small hook, Blue lighter, Green big hook]"
Easy,Gazelle,8,5,7,2,1,"[Yellow big hook, Yellow gate, Green L]"
Easy,Gazelle,8,8,7,2,1,"[Yellow small hook, Yellow gate, Green big hook]"
Easy,Snake,9,1,7,2,1,"[Red stool, Red big hook, Red flash]"
Easy,Snake,9,3,7,2,2,"[Blue lighter, Green flash, Green L]"
Easy,Snake,9,5,7,2,1,"[Blue flash, Red stool, Green T]"
Easy,Snake,9,8,7,2,1,"[Yellow small hook, Blue big hook, Red big hook]"
Easy,Snake,10,1,7,2,1,"[Red stool, Red small hook, Green big hook]"
Easy,Snake,10,3,7,2,1,"[Yellow small hook, Blue flash, Red stool]"
Easy,Snake,10,5,7,2,1,"[Yellow small hook, Blue big hook, Blue flash]"
Easy,Snake,10,8,7,2,1,"[Yellow big hook, Red stool, Red small hook]"
Easy,Snake,11,1,7,2,2,"[Blue flash, Blue lighter, Green L]"
Easy,Snake,11,3,7,2,1,"[Yellow small hook, Green flash, Green big hook]"
Easy,Snake,11,5,7,2,1,"[Red stool, Red small hook, Green big hook]"
Easy,Snake,11,8,7,2,1,"[Blue big hook, Red stool, Red small hook]"
Easy,Snake,12,1,7,2,1,"[Yellow hello, Yellow small hook, Red stool]"
Easy,Snake,12,3,7,2,1,"[Blue lighter, Red small hook, Green big hook]"
Easy,Snake,12,5,7,2,1,"[Red small hook, Green flash, Green big hook]"
Easy,Snake,12,8,7,2,1,"[Yellow small hook, Red stool, Green big hook]"
Easy,Gnu,13,1,7,2,1,"[Yellow hello, Yellow small hook, Blue big hook]"
Easy,Gnu,13,3,7,2,1,"[Blue flash, Blue lighter, Red small hook]"
Easy,Gnu,13,5,7,2,1,"[Blue flash, Red stool, Green L]"
Easy,Gnu,13,8,7,2,1,"[Blue lighter, Green flash, Green L]"
Easy,Gnu,14,1,7,2,1,"[Yellow gate, Red small hook, Red big hook]"
Easy,Gnu,14,3,7,2,1,"[Blue big hook, Red stool, Red small hook]"
Easy,Gnu,14,5,7,2,1,"[Blue flash, Blue lighter, Red flash]"
Easy,Gnu,14,8,7,2,1,"[Red stool, Green big hook, Green T]"
Easy,Gnu,15,1,7,2,1,"[Yellow small hook, Red stool, Green big hook]"
Easy,Gnu,15,3,7,2,1,"[Blue lighter, Red small hook, Green flash]"
Easy,Gnu,15,5,7,2,1,"[Red stool, Green flash, Green L]"
Easy,Gnu,15,8,7,2,1,"[Blue flash, Green big hook, Green L]"
Easy,Gnu,16,1,7,2,1,"[Yellow small hook, Blue lighter, Green flash]"
Easy,Gnu,16,3,7,2,1,"[Red stool, Green flash, Green L]"
Easy,Gnu,16,5,7,2,1,"[Red stool, Red small hook, Green big hook]"
Easy,Gnu,16,8,7,2,1,"[Blue big hook, Green flash, Green L]"
Easy,Ostrich,17,1,7,2,1,"[Yellow gate, Blue big hook, Green L]"
Easy,Ostrich,17,3,7,2,2,"[Yellow hello, Blue lighter, Green L]"
Easy,Ostrich,17,5,7,2,1,"[Yellow hello, Yellow small hook, Red stool]"
Easy,Ostrich,17,8,7,2,1,"[Yellow small hook, Blue lighter, Green flash]"
Easy,Ostrich,18,1,7,2,1,"[Blue lighter, Red big hook, Green L]"
Easy,Ostrich,18,3,7,2,1,"[Yellow hello, Blue lighter, Red flash]"
Easy,Ostrich,18,5,7,2,1,"[Yellow small hook, Blue flash, Blue lighter]"
Easy,Ostrich,18,8,7,2,1,"[Red stool, Red big hook, Green L]"
Easy,Ostrich,19,1,7,2,2,"[Red stool, Red small hook, Green flash]"
Easy,Ostrich,19,3,7,2,1,"[Blue big hook, Red stool, Green L]"
Easy,Ostrich,19,5,7,2,1,"[Yellow big hook, Red stool, Green L]"
Easy,Ostrich,19,8,7,2,1,"[Red stool, Red small hook, Green flash]"
Easy,Ostrich,20,1,7,2,2,"[Yellow hello, Red stool, Red small hook]"
Easy,Ostrich,20,3,7,2,1,"[Blue big hook, Red stool, Red small hook]"
Easy,Ostrich,20,5,7,2,1,"[Yellow big hook, Red stool, Red flash]"
Easy,Ostrich,20,8,7,2,1,"[Blue flash, Blue lighter, Red small hook]"
Easy,Rhino,21,1,7,2,1,"[Yellow big hook, Yellow small hook, Blue lighter]"
Easy,Rhino,21,3,7,2,2,"[Blue lighter, Red stool, Green L]"
Easy,Rhino,21,5,7,2,4,"[Red stool, Red small hook, Green big hook]"
Easy,Rhino,21,8,7,2,2,"[Yellow hello, Blue lighter, Red small hook]"
Easy,Rhino,22,1,7,2,1,"[Blue big hook, Red stool, Green L]"
Easy,Rhino,22,3,7,2,2,"[Yellow big hook, Red stool, Green T]"
Easy,Rhino,22,5,7,2,1,"[Blue big hook, Blue flash, Red small hook]"
Easy,Rhino,22,8,7,2,1,"[Yellow hello, Blue big hook, Green L]"
Easy,Rhino,23,1,7,2,1,"[Blue lighter, Red small hook, Red big hook]"
Easy,Rhino,23,3,7,2,1,"[Blue flash, Blue lighter, Red small hook]"
Easy,Rhino,23,5,7,2,4,"[Yellow small hook, Blue big hook, Red stool]"
Easy,Rhino,23,8,7,2,1,"[Red stool, Green big hook, Green L]"
Easy,Rhino,24,1,7,2,1,"[Red stool, Green big hook, Green L]"
Easy,Rhino,24,3,7,2,1,"[Yellow hello, Red stool, Green L]"
Easy,Rhino,24,5,7,2,2,"[Yellow big hook, Yellow small hook, Blue lighter]"
Easy,Rhino,24,8,7,2,1,"[Yellow big hook, Green flash, Green L]"
Easy,Giraffe,25,1,6,2,1,"[Yellow big hook, Blue v, Red small hook]"
Easy,Giraffe,25,3,6,2,1,"[Yellow hello, Blue v, Red small hook]"
Easy,Giraffe,25,5,7,2,1,"[Yellow small hook, Blue lighter, Green flash]"
Easy,Giraffe,25,8,7,2,1,"[Red stool, Red small hook, Green big hook]"
Easy,Giraffe,26,1,6,2,2,"[Yellow small hook, Blue big hook, Blue v]"
Easy,Giraffe,26,3,6,2,1,"[Red small hook, Red flash, Green L]"
Easy,Giraffe,26,5,7,2,1,"[Blue flash, Red stool, Green L]"
Easy,Giraffe,26,8,7,2,1,"[Green flash, Green big hook, Green L]"
Easy,Giraffe,27,1,6,2,2,"[Blue v, Red small hook, Green big hook]"
Easy,Giraffe,27,3,6,2,1,"[Blue flash, Blue v, Green T]"
Easy,Giraffe,27,5,7,2,2,"[Yellow hello, Yellow small hook, Blue lighter]"
Easy,Giraffe,27,8,7,2,1,"[Red stool, Green flash, Green L]"
Easy,Giraffe,28,1,6,2,2,"[Yellow small hook, Blue v, Green big hook]"
Easy,Giraffe,28,3,6,2,1,"[Blue v, Green flash, Green T]"
Easy,Giraffe,28,5,7,2,1,"[Yellow small hook, Blue big hook, Red stool]"
Easy,Giraffe,28,8,7,2,1,"[Blue big hook, Blue flash, Green L]"
Easy,Zebra,29,1,6,2,2,"[Blue big hook, Blue v, Red small hook]"
Easy,Zebra,29,3,6,2,2,"[Yellow small hook, Blue lighter, Blue v]"
Easy,Zebra,29,5,7,2,2,"[Red stool, Green big hook, Green L]"
Easy,Zebra,29,8,7,2,2,"[Blue lighter, Green big hook, Green L]"
Easy,Zebra,30,1,7,2,1,"[Red stool, Red flash, Green flash]"
Easy,Zebra,30,3,7,2,1,"[Red stool, Green flash, Green L]"
Easy,Zebra,30,5,7,2,1,"[Blue big hook, Red stool, Red small hook]"
Easy,Zebra,30,8,7,2,4,"[Yellow small hook, Blue flash, Red stool]"
Easy,Zebra,31,1,6,2,9,"[Yellow small hook, Blue v, Red stool]"
Easy,Zebra,31,3,6,2,1,"[Blue v, Green big hook, Green L]"
Easy,Zebra,31,5,7,2,1,"[Yellow hello, Yellow small hook, Green flash]"
Easy,Zebra,31,8,7,2,1,"[Blue flash, Red stool, Red small hook]"
Easy,Zebra,32,1,7,2,1,"[Red stool, Red flash, Green flash]"
Easy,Zebra,32,3,7,2,1,"[Blue big hook, Red stool, Red small hook]"
Easy,Zebra,32,5,7,2,1,"[Red stool, Green flash, Green L]"
Easy,Zebra,32,8,7,2,2,"[Blue lighter, Green flash, Green L]"
Easy,Warthog,33,1,6,2,1,"[Yellow small hook, Blue v, Green big hook]"
Easy,Warthog,33,3,6,2,1,"[Blue v, Green flash, Green L]"
Easy,Warthog,33,5,7,2,2,"[Red stool, Green big hook, Green L]"
Easy,Warthog,33,8,7,2,2,"[Yellow hello, Yellow small hook, Yellow gate]"
Easy,Warthog,34,1,6,2,2,"[Blue v, Red stool, Red small hook]"
Easy,Warthog,34,3,6,2,1,"[Yellow hello, Blue v, Red flash]"
Easy,Warthog,34,5,7,2,2,"[Yellow small hook, Blue big hook, Red stool]"
Easy,Warthog,34,8,7,2,2,"[Yellow hello, Blue big hook, Green L]"
Easy,Warthog,35,1,6,2,1,"[Yellow big hook, Blue v, Green L]"
Easy,Warthog,35,3,6,2,1,"[Red small hook, Red flash, Green L]"
Easy,Warthog,35,5,7,2,2,"[Yellow big hook, Blue lighter, Red small hook]"
